"rep","time","fish","human","human_binom"
"Hanauma Bay-Backdoor-B-2020_12_16",761,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",762,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",763,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",764,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",765,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",766,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",767,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",768,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",769,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",770,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",771,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",772,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",773,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",774,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",775,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",776,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",777,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",778,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",779,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",780,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",781,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",782,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",783,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",784,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",785,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",786,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",787,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",788,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",789,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",790,0,0,FALSE
"Hanauma Bay-Backdoor-B-2020_12_16",791,0,0,FALSE
